704047	šifrovat	šifrovat_:T	V
96659	dětel	dětel_;L	N
103365	dlužitel	dlužitel	N	103369
103369	dlužit	dlužit_:T	V
105643	dobyvatel	dobyvatel	N	105653
105653	dobývat	dobývat_:T	V	105628
105628	dobýt	dobýt_:W	V	63899
63899	být	být_:T	V
106684	dodatel	dodatel	N	106732
106732	dodat	dodat_:W	V	88807
88807	dát	dát_:T	V
106743	dodavatel	dodavatel	N	106753
106753	dodávat	dodávat_:T_^(*4at)	V	106732
106732	dodat	dodat_:W	V	88807
88807	dát	dát_:T	V
107561	dodržovatel	dodržovatel	N	107565
107565	dodržovat	dodržovat_:T	V	107551
107551	dodržet	dodržet_:W	V	140369
140369	držet	držet_:T	V
109284	dohližitel	dohližitel	N	109278
109278	dohlížet	dohlížet_:T	V	109203
109203	dohlédat	dohlédat_:T	V
109285	dohlížitel	dohlížitel	N	109278
109278	dohlížet	dohlížet_:T	V	109203
109203	dohlédat	dohlédat_:T	V
111113	dojednatel	dojednatel	N	111117
111117	dojednat	dojednat_:W	V	234072
234072	jednat	jednat_:T	V
111732	dokazatel	dokazatel	N
111746	dokazovatel	dokazovatel	N	111750
111750	dokazovat	dokazovat_:T	V	111736
111736	dokázat	dokázat_:W	V	251291
251291	kázat	kázat_:T	V
112739	dokonavatel	dokonavatel	N
112776	dokončitel	dokončitel	N	112780
112780	dokončit	dokončit_:W	V	266066
266066	končit	končit_:T	V
112790	dokončovatel	dokončovatel	N	112794
112794	dokončovat	dokončovat_:T	V	112780
112780	dokončit	dokončit_:W	V	266066
266066	končit	končit_:T	V
118544	donucovatel	donucovatel	N	118548
118548	donucovat	donucovat_:T	V	118606
118606	donutit	donutit_:W	V	386485
386485	nutit	nutit_:T	V
120463	dopisovatel	dopisovatel	N	120471
120471	dopisovat	dopisovat_:T	V	122719
122719	dopsat	dopsat_:W	V
120831	doplnitel	doplnitel	N	120835
120835	doplnit	doplnit_:W	V	465408
465408	plnit	plnit_:T	V	465523
465523	plný	plný	A
120854	doplňovatel	doplňovatel	N	120858
120858	doplňovat	doplňovat_:T	V	120835
120835	doplnit	doplnit_:W	V	465408
465408	plnit	plnit_:T	V	465523
465523	plný	plný	A
121334	doporučitel	doporučitel	N	121338
121338	doporučit	doporučit_:W	V	491380
491380	poručit	poručit_:W	V	623641
623641	ručit	ručit_:T	V
121348	doporučovatel	doporučovatel	N	121352
121352	doporučovat	doporučovat_:T	V	121338
121338	doporučit	doporučit_:W	V	491380
491380	poručit	poručit_:W	V	623641
623641	ručit	ručit_:T	V
121641	dopracovatel	dopracovatel	N	121645
121645	dopracovat	dopracovat_:W	V	503999
503999	pracovat	pracovat_:T	V
121743	dopravovatel	dopravovatel	N	121747
121747	dopravovat	dopravovat_:T	V	121717
121717	dopravit	dopravit_:W	V	505547
505547	pravit	pravit_:W	V
124191	doručitel	doručitel	N	124198
124198	doručit	doručit_:W	V	623641
623641	ručit	ručit_:T	V
124232	doručovatel	doručovatel	N	124240
124240	doručovat	doručovat_:T	V	124198
124198	doručit	doručit_:W	V	623641
623641	ručit	ručit_:T	V
124755	dosaditel	dosaditel	N	124759
124759	dosadit	dosadit_:W	V	630094
630094	sadit	sadit_:W	V
124999	dosažitel	dosažitel	N
127113	dostavitel	dostavitel	N	127117
127117	dostavit	dostavit_:W_^(se,na_dané_místo)	V	680336
680336	stavit	stavit_:T_:W	V	680150
680150	stát	stát-4_:T_^(něco_stojí_peníze)	V	721126
721126	tát	tát_:T	V
127133	dostavovatel	dostavovatel	N	127137
127137	dostavovat	dostavovat_:T	V	127117
127117	dostavit	dostavit_:W_^(se,na_dané_místo)	V	680336
680336	stavit	stavit_:T_:W	V	680150
680150	stát	stát-4_:T_^(něco_stojí_peníze)	V	721126
721126	tát	tát_:T	V
130676	dotazatel	dotazatel	N
130698	dotazovatel	dotazovatel	N	130705
130705	dotazovat	dotazovat_:T	V	130678
130678	dotázat	dotázat_:W	V	721511
721511	tázat	tázat_:T	V
131739	dotvořitel	dotvořitel	N	131743
131743	dotvořit	dotvořit_:W	V	743018
743018	tvořit	tvořit_:T	V
132001	doučovatel	doučovatel	N	132005
132005	doučovat	doučovat_:T	V	131991
131991	doučit	doučit_:W	V	746361
746361	učit	učit_:T	V
133715	dovolatel	dovolatel	N	133719
