120852	doplňovatelka	doplňovatelka_^(*2)	N	120854
120854	doplňovatel	doplňovatel	N	120858
120858	doplňovat	doplňovat_:T	V	120835
121331	doporučitelčin	doporučitelčin_^(*3ka)	A	121332
121332	doporučitelka	doporučitelka_^(*2)	N	121334
121334	doporučitel	doporučitel	N	121338
121338	doporučit	doporučit_:W	V	491380
121345	doporučovatelčin	doporučovatelčin_^(*3ka)	A	121346
121346	doporučovatelka	doporučovatelka_^(*2)	N	121348
121348	doporučovatel	doporučovatel	N	121352
121352	doporučovat	doporučovat_:T	V	121338
121638	dopracovatelčin	dopracovatelčin_^(*3ka)	A	121639
121639	dopracovatelka	dopracovatelka_^(*2)	N	121641
121641	dopracovatel	dopracovatel	N	121645
121645	dopracovat	dopracovat_:W	V	503999
122719	dopsat	dopsat_:W	V
124188	doručitelčin	doručitelčin_^(*3ka)	A	124189
124189	doručitelka	doručitelka_^(*2)	N	124191
124191	doručitel	doručitel	N	124198
124198	doručit	doručit_:W	V	623641
124229	doručovatelčin	doručovatelčin_^(*3ka)	A	124230
124230	doručovatelka	doručovatelka_^(*2)	N	124232
124232	doručovatel	doručovatel	N	124240
124240	doručovat	doručovat_:T	V	124198
124752	dosaditelčin	dosaditelčin_^(*3ka)	A	124753
124753	dosaditelka	dosaditelka_^(*2)	N	124755
124755	dosaditel	dosaditel	N	124759
124759	dosadit	dosadit_:W	V	630094
124996	dosažitelčin	dosažitelčin_^(*3ka)	A	124997
124997	dosažitelka	dosažitelka_^(*2)	N	124999
124999	dosažitel	dosažitel	N
127110	dostavitelčin	dostavitelčin_^(*3ka)	A	127111
127111	dostavitelka	dostavitelka_^(*2)	N	127113
127113	dostavitel	dostavitel	N	127117
127117	dostavit	dostavit_:W_^(se,na_dané_místo)	V	680336
127130	dostavovatelčin	dostavovatelčin_^(*3ka)	A	127131
127131	dostavovatelka	dostavovatelka_^(*2)	N	127133
127133	dostavovatel	dostavovatel	N	127137
127137	dostavovat	dostavovat_:T	V	127117
12941	anticestovatelčin	anticestovatelčin_^(*3ka)	A	12942
12942	anticestovatelka	anticestovatelka_^(*2)	N	12943
12943	anticestovatel	anticestovatel	N	68578
130674	dotazatelčin	dotazatelčin_^(*3ka)	A	130675
130675	dotazatelka	dotazatelka_^(*2)	N	130676
130676	dotazatel	dotazatel	N
130678	dotázat	dotázat_:W	V	721511
130695	dotazovatelčin	dotazovatelčin_^(*3ka)	A	130696
130696	dotazovatelka	dotazovatelka_^(*2)	N	130698
130698	dotazovatel	dotazovatel	N	130705
130705	dotazovat	dotazovat_:T	V	130678
131736	dotvořitelčin	dotvořitelčin_^(*3ka)	A	131737
131737	dotvořitelka	dotvořitelka_^(*2)	N	131739
131739	dotvořitel	dotvořitel	N	131743
131743	dotvořit	dotvořit_:W	V	743018
131991	doučit	doučit_:W	V	746361
131998	doučovatelčin	doučovatelčin_^(*3ka)	A	131999
131999	doučovatelka	doučovatelka_^(*2)	N	132001
132001	doučovatel	doučovatel	N	132005
132005	doučovat	doučovat_:T	V	131991
133712	dovolatelčin	dovolatelčin_^(*3ka)	A	133713
133713	dovolatelka	dovolatelka_^(*2)	N	133715
133715	dovolatel	dovolatel	N	133719
133719	dovolat	dovolat_:W	V	803716
133998	dovršitelčin	dovršitelčin_^(*3ka)	A	133999
133999	dovršitelka	dovršitelka_^(*2)	N	134001
134001	dovršitel	dovršitel	N	134005
134005	dovršit	dovršit_:W	V	809861
135838	dozíratelčin	dozíratelčin_^(*3ka)	A	135839
135839	dozíratelka	dozíratelka_^(*2)	N	135841
135841	dozíratel	dozíratel	N	135845
135845	dozírat	dozírat_:T	V	956485
136244	dozorovatelčin	dozorovatelčin_^(*3ka)	A	136245
136245	dozorovatelka	dozorovatelka_^(*2)	N	136247
136247	dozorovatel	dozorovatel	N	136251
136251	dozorovat	dozorovat_:T	V
137862	drásatelčin	drásatelčin_^(*3ka)	A	137863
137863	drásatelka	drásatelka_^(*2)	N	137865
137865	drásatel	drásatel	N	137869
137869	drásat	drásat_:T	V
138140	drážditelčin	drážditelčin_^(*3ka)	A	138141
138141	drážditelka	drážditelka_^(*2)	N	138143
138143	drážditel	drážditel	N	138147
138147	dráždit	dráždit_:T	V
138203	dražitelčin	dražitelčin_^(*3ka)	A	138204
138204	dražitelka	dražitelka_^(*2)	N	138206
138206	dražitel	dražitel	N	138210
138210	dražit	dražit_:T	V
139452	drobit	drobit_:T	V
139491	drobnochovatelčin	drobnochovatelčin_^(*3ka)	A	139492
139492	drobnochovatelka	drobnochovatelka_^(*2)	N	139493
139493	drobnochovatel	drobnochovatel	NC
139949	drtitelčin	drtitelčin_^(*3ka)	A	139950
139950	drtitelka	drtitelka_^(*2)	N	139952
139952	drtitel	drtitel	N	139956
139956	drtit	drtit_:T	V
140225	družit	družit_:T	V
140369	držet	držet_:T	V
140376	držitelčin	držitelčin_^(*3ka)	A	140377
140377	držitelka	držitelka_^(*2)	N	140378
140378	držitel	držitel	N	140369
14062	antisběratelčin	antisběratelčin_^(*3ka)	A	14063
14063	antisběratelka	antisběratelka_^(*2)	N	14064
14064	antisběratel	antisběratel	N	636065
140847	dřevostavitelčin	dřevostavitelčin_^(*3ka)	A	140848
140848	dřevostavitelka	dřevostavitelka_^(*2)	N	140849
140849	dřevostavitel	dřevostavitel	NC
140883	dřevozpracovatelčin	dřevozpracovatelčin_^(*3ka)	A	140884
140884	dřevozpracovatelka	dřevozpracovatelka_^(*2)	N	140885
140885	dřevozpracovatel	dřevozpracovatel	NC
143102	dusitelčin	dusitelčin_^(*3ka)	A	143103
143103	dusitelka	dusitelka_^(*2)	N	143105
143105	dusitel	dusitel	N	143112
143112	dusit	dusit_:T	V
146552	dvojzastupitelčin	dvojzastupitelčin_^(*3ka)	A	146553
146553	dvojzastupitelka	dvojzastupitelka_^(*2)	N	146554
146554	dvojzastupitel	dvojzastupitel	NC
148940	dýchat	dýchat_:T	V
148954	dýchnout	dýchnout_:W	V	148940
151686	ekokazatelčin	ekokazatelčin_^(*3ka)	A	151687
151687	ekokazatelka	ekokazatelka_^(*2)	N	151688
151688	ekokazatel	ekokazatel	NC
151816	ekopodnikatelčin	ekopodnikatelčin_^(*3ka)	A	151817
151817	ekopodnikatelka	ekopodnikatelka_^(*2)	N	151818
151818	ekopodnikatel	ekopodnikatel	NC
15244	aplikovatelčin	aplikovatelčin_^(*3ka)	A	15245
15245	aplikovatelka	aplikovatelka_^(*2)	N	15247
15247	aplikovatel	aplikovatel	N	15251
15251	aplikovat	aplikovat_:T_:W	V
156808	Estelka	Estelka_;Y_,h	N
157930	euročinitelčin	euročinitelčin_^(*3ka)	A	157931
157931	euročinitelka	euročinitelka_^(*2)	N	157932
157932	euročinitel	euročinitel	NC
158033	euromyslitelčin	euromyslitelčin_^(*3ka)	A	158034
158034	euromyslitelka	euromyslitelka_^(*2)	N	158035
158035	euromyslitel	euromyslitel	NC
159268	exhlasatelčin	exhlasatelčin_^(*3ka)	A	159269
159269	exhlasatelka	exhlasatelka_^(*2)	N	159270
159270	exhlasatel	exhlasatel	N
159568	exmajitelčin	exmajitelčin_^(*3ka)	A	159569
159569	exmajitelka	exmajitelka_^(*2)	N	159570
159570	exmajitel	exmajitel	N
160072	expodnikatelčin	expodnikatelčin_^(*3ka)	A	160073
160073	expodnikatelka	expodnikatelka_^(*2)	N	160074
160074	expodnikatel	expodnikatel	N
160353	exředitelčin	exředitelčin_^(*3ka)	A	160354
160354	exředitelka	exředitelka_^(*2)	N	160355
160355	exředitel	exředitel	N
